,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
90,0.182,0.874,0.706,0.0,1.0,0.334,5.132,1.0,0.207,89.968,0.895
91,0.061,0.927,0.665,0.0,11.0,0.123,5.313,1.0,0.244,127.076,0.175
92,0.016,0.653,0.577,0.0,1.0,0.203,9.018,0.0,0.116,150.004,0.196
93,0.0272,0.811,0.651,0.0,5.0,0.136,6.443,0.0,0.18,155.883,0.383
94,0.017,0.944,0.494,0.0,2.0,0.108,6.325,1.0,0.27,133.069,0.202
95,0.0249,0.859,0.644,0.0,10.0,0.118,6.472,0.0,0.184,132.06,0.35
96,0.043,0.859,0.494,0.0,10.0,0.109,8.505,1.0,0.34,77.456,0.137
97,0.156,0.889,0.674,1.0,6.0,0.0914,5.392,0.0,0.117,128.011,0.635
98,0.414,0.908,0.552,0.0,9.0,0.178,7.787,1.0,0.298,127.981,0.267
99,0.207,0.869,0.401,0.0,1.0,0.105,7.247,1.0,0.234,129.951,0.167
